page_id,page_title,view_count,protection_level,protection_expiry,page_length,number_page_watchers,number_page_watchers_recent_edits,number_of_redirects,page_views_past_30days,total_edits,recent_number_of_edits,number_distinct_authors,number_categories,protection_expiry,protection_expiry_date,protection_expiry_time,protection_duration_days,timestamp,protection_expiry_flag
1027254,1991 CONCACAF Gold Cup,112482,autoconfirmed,,47822,154,16,14,13279,1753,28,8,16, 2021-08-22T02:40:41Z, 2021-08-22,02:40:41Z,2, 2021-08-20,0
1027291,1993 CONCACAF Gold Cup,107508,autoconfirmed,,48986,46,14,2,108635,2153,6,5,11, 2021-08-22T10:45:07Z, 2021-08-22,10:45:07Z,2, 2021-08-20,0
1027342,1996 CONCACAF Gold Cup,118526,autoconfirmed,,7484,Fewer than 30 watchers,,2,479,219,2,2,10, 2021-08-22T12:33:22Z, 2021-08-22,12:33:22Z,2, 2021-08-20,0
1027385,1998 CONCACAF Gold Cup,133078,autoconfirmed,,3168,Fewer than 30 watchers,,0,46982,59,59,32,9, 2021-08-22T13:28:14Z, 2021-08-22,13:28:14Z,2, 2021-08-20,0
1027422,2000 CONCACAF Gold Cup,230307,autoconfirmed,,11637,Fewer than 30 watchers,,3,4088,136,125,36,4, 2021-08-22T19:56:26Z, 2021-08-22,19:56:26Z,2, 2021-08-20,0
1027553,2002 CONCACAF Gold Cup,165986,autoconfirmed,,39416,129,12,13,13528,5204,5,4,23, 2021-08-22T19:56:48Z, 2021-08-22,19:56:48Z,2, 2021-08-20,0
1027604,2003 CONCACAF Gold Cup,210742,autoconfirmed,,13462,Fewer than 30 watchers,,0,1404,74,22,5,4, 2021-08-22T21:27:31Z, 2021-08-22,21:27:31Z,2, 2021-08-20,0
1105881,2005 CONCACAF Gold Cup,172597,autoconfirmed,,29548,78,12,4,2738,577,1,1,8, 2021-08-22T22:15:16Z, 2021-08-22,22:15:16Z,2, 2021-08-20,0
1123327,1998 San Marino Grand Prix,50965,autoconfirmed,,0,Fewer than 30 watchers,,0,0,,,,, 2021-08-22T13:39:06Z, 2021-08-22,13:39:06Z,2, 2021-08-20,0
1328236,2004 Indian Ocean earthquake and tsunami,12087495,autoconfirmed,,12844,Fewer than 30 watchers,,2,89508,332,63,39,7, 2021-08-22T21:55:06Z, 2021-08-22,21:55:06Z,2, 2021-08-20,0
2027674,1999 Odisha cyclone,847316,autoconfirmed,,13240,57,14,3,27684,987,14,9,12, 2021-08-22T16:05:16Z, 2021-08-22,16:05:16Z,2, 2021-08-20,0
4764272,2005 Kids' Choice Awards,114037,autoconfirmed,,35623,158,25,38,12901,1378,30,10,57, 2021-08-22T22:27:15Z, 2021-08-22,22:27:15Z,2, 2021-08-20,0
6356686,2002 Gujarat riots,3389159,autoconfirmed,,5834,Fewer than 30 watchers,,1,6169,170,9,4,5, 2021-08-22T20:19:50Z, 2021-08-22,20:19:50Z,2, 2021-08-20,0
7242143,2004 Boscastle flood,58822,autoconfirmed,,49997,256,57,7,325242,1856,3,3,12, 2021-08-22T21:51:28Z, 2021-08-22,21:51:28Z,2, 2021-08-20,0
19767582,19 Kids and Counting,11164637,autoconfirmed,,6530,45,7,0,4022,295,16,7,6, 2021-08-22T16:21:04Z, 2021-08-22,16:21:04Z,2, 2021-08-20,0
28347998,1992 United States men's Olympic basketball team,6020190,autoconfirmed,,24345,Fewer than 30 watchers,,1,88569,286,202,31,4, 2021-08-22T10:10:11Z, 2021-08-22,10:10:11Z,2, 2021-08-20,0
40546176,1998 Sokcho submarine incident,538689,autoconfirmed,,34737,Fewer than 30 watchers,,1,4673,329,1,1,5, 2021-08-22T14:12:45Z, 2021-08-22,14:12:45Z,2, 2021-08-20,0
42673281,1992 Troy State vs. DeVry men's basketball game,309689,autoconfirmed,,36483,Fewer than 30 watchers,,1,1035,770,60,18,8, 2021-08-22T09:59:07Z, 2021-08-22,09:59:07Z,2, 2021-08-20,0
43597375,1989 (Taylor Swift album),5883981,autoconfirmed,,125695,63,12,4,7627,948,8,5,19, 2021-08-22T01:12:58Z, 2021-08-22,01:12:58Z,2, 2021-08-20,0
44571556,19th Satellite Awards,58186,autoconfirmed,,9881,Fewer than 30 watchers,,2,901,355,10,6,21, 2021-08-22T16:24:31Z, 2021-08-22,16:24:31Z,2, 2021-08-20,0
44977294,1998 in Germany,11725,autoconfirmed,,17317,93,22,4,5768,548,0,0,10, 2021-08-22T14:47:00Z, 2021-08-22,14:47:00Z,2, 2021-08-20,0
47109343,1 Ropemaker Street,3959,autoconfirmed,,21479,78,14,6,14505,683,19,9,16, 2021-08-22T16:32:11Z, 2021-08-22,16:32:11Z,2, 2021-08-20,0
48116360,2.0 (film),17598898,autoconfirmed,,18094,59,8,0,37211,1108,0,0,10, 2021-08-22T18:30:27Z, 2021-08-22,18:30:27Z,2, 2021-08-20,0
48669265,2+2,56233,autoconfirmed,,35906,109,16,12,13136,1525,19,10,11, 2021-08-22T18:00:52Z, 2021-08-22,18:00:52Z,2, 2021-08-20,0
168079,2010 FIFA World Cup,10079179,autoconfirmed,,57897,Fewer than 30 watchers,,1,610,789,13,7,16, 2021-08-23T12:02:06Z, 2021-08-23,12:02:06Z,3, 2021-08-20,0
406859,2008 United States presidential election,10655201,autoconfirmed,,3778,Fewer than 30 watchers,,2,1173,114,17,13,4, 2021-08-23T06:16:32Z, 2021-08-23,06:16:32Z,3, 2021-08-20,0
